corpus: preloaded/ententen15_tt31
subcorpus: 
size: 421701
query: Query:[lempos_lc="(cook)-v"], GDEX:1000
djenuff.net| <s> Raw foods are strongly suggested over cooked foods. </s> 
nhsummerfest.org| <s> We clean all types of cooking ventilation systems. </s> 
usc.edu| <s> Grill on medium to high until cooked through. </s> 
imb.org| <s> Add curry paste and cook a minute longer. </s> 
dbayounglawyers.org| <s> I really enjoy cooking and developing delicious and healthy recipes. </s> 
waiterontheway.biz| <s> Two tender chicken breasts cooked over an open flame. </s> 
banglapedia.org| <s> If cooked with rice the nutrient value is enriched. </s> 
birdhouse.org| <s> He used to cook the best chicken. </s> 
ecfvp.org| <s> I have been cooking new things lately. </s> 
bengalcuisine.in| <s> The cooked grains should be separate. 2. </s> 
thecupboard.net| <s> This has permanently changed the way I cook . </s> 
greatfood.ie| <s> It is a great cheese to cook with. </s> 
musikogteater.dk| <s> She loves to cook with chili and garlic. </s> 
myblessedhome.net| <s> One of our areas of focus is cooking . </s> 
foodfight.ie| <s> They add a cool little touch to home cooked Asian dishes. </s> 
bostonreview.net| <s> Besides, who cooks at home anymore? </s> 
axiomatica.org| <s> They didn't necessarily cook it up. </s> 
ufaas-ugandacf.org| <s> This is mainly to ease energy consumption when cooking the product. </s> 
locanto.ie| <s> All our products are home cooked and made fresh to order. </s> 
butchershop-online.gr| <s> They must be cooked right through to the centre. </s> 
grafik.net| <s> I loved the food my mum cooked at home. </s> 
annmah.net| <s> I rarely cooked fresh fruit before I moved to France. </s> 
diabetes-stories.com| <s> Could manage diabetes, but can't cook . </s> 
abicana.com| <s> Much raw or carefully cooked vegatables are useful. </s> 
umn.edu| <s> So, I combined cooking and singing. </s> 
legacypork.com| <s> Add cooked sausage and cover, simmering until vegetables are tender. </s> 
jamesbeard.org| <s> Can you smell what the Rock is cooking ? </s> 
bymcamps.org| <s> As kitchen manager it means I try to cook new things. </s> 
fivestar.ie| <s> The facilities have been great for sleeping, cooking and relaxing. </s> 
thegarrison.org.uk| <s> The catering team under Nigel, cooking up a storm. </s> 
heidipowell.net| <s> I am most interested in learning how to cook healthier. </s> 
bidoun.org| <s> Flip it and continue to cook it uncovered until golden. </s> 
nsw.edu.au| <s> Our Hospitality class, cook and serve a sumptuous lunch. </s> 
vaishnava.me| <s> No matter where you go you get cooked ! </s> 
brightonapts.org| <s> Stay by the stove when you cook . </s> 
gallerytours.net| <s> Fish is readily available and cooked in a variety of ways. </s> 
dbanews.net| <s> Americans of all ages love to cook and bake. </s> 
independentaustralia.net| <s> The rice and other food like chicken are not cooked properly. </s> 
sustainableplaces.org| <s> Her aim is to make cooking an interesting and simple affair. </s> 
mahcc.org| <s> Twice, I've struck out ordering cooked fish dishes. </s> 
odlums.ie| <s> Boxty should be golden brown when cooked . </s> 
free-ebook-downloads.net| <s> Place cooked patty on top of lettuce. </s> 
iastate.edu| <s> People have gotten sick from eating uncooked or under cooked eggs. </s> 
findhotel.co.uk| <s> Our restaurant offers you good quality home cooked food at reasonable prices. </s> 
luxurycruises.vn| <s> We love cruise activities like kayaking, cooking class and taichi. </s> 
onlineadultdating.net| <s> They can cook amazingly tasty stuff without wasting a lot of money. </s> 
farmersmarketsnm.org| <s> While the cream is reducing, cook pasta according to package directions. </s> 
ansamblverete.ru| <s> Krusteaz pancakes cook up light, fluffy and delicious. </s> 
glass-apps.org| <s> Now to kitchen: prepping, cooking healthy meals. </s> 
flick.com| <s> The potatoes and cabbage were all well cooked by 6:30. </s> 
