corpus: preloaded/ententen15_tt31
subcorpus: 
size: 5911971
query: Query:[lc="build" | lemma_lc="build"], GDEX:2000
offcite.org| <s> The tunnel was built in nine months. </s> 
unwomen.org.nz| <s> It is built through respect and equality. </s> 
su.se| <s> Chemicals management is built around the regulation of single substances. </s> 
setcorp.ru| <s> Meanwhile the plant started building the fifth yacht. </s> 
slashdot.org| <s> You can build modules without rebuilding the entire kernel. </s> 
punxsyhistory.org| <s> He built a saw mill in 1878. </s> 
setaram.fr| <s> A dedicated oven suitable for two methods has been specially built . </s> 
essma.eu| <s> The first stand was built in 1908. </s> 
president.az| <s> A large shipyard has been built in Azerbaijan. </s> 
zingteen.net| <s> The build , or pixels is never ordered. </s> 
free.fr| <s> Intro: Home built solar power system. </s> 
green-phoenix.org| <s> It cost less than $200 to build . </s> 
prsa.org| <s> Social networking is all about building a community. </s> 
mrcsarasota.org| <s> Subordinates build a cohesive team. </s>
missouri.edu| <s> They build nests and attract females to them. </s> 
zilina.sk| <s> A new terminal was built at the airport. </s> 
orangefizz.net| <s> Let's start with a clean slate and build . </s> 
yourstru.ly| <s> We build strategies that connect brands and bands with fans. </s> 
ericbooth.net| <s> They are building partnerships with youth sports networks in Venezuela. </s> 
paroots.org| <s> They are simple, but are built to last. </s> 
ihm-school.org| <s> The Canadian government built the railroad. </s>
bigaustin.org| <s> You've started saving and built a financial base. </s> 
itu.edu| <s> Also I believe these rich photographs build loyalty towards the brand. </s> 
uic.edu| <s> Originally it meant building hardware and software and was considered admirable. </s> 
journalists.org| <s> Ability to build lasting relationships and strong communities; customer focus. </s> 
officeoftourism.org| <s> The church is built on a Latin cross plan. </s> 
lip6.fr| <s> Neural Networks sequentially build high-level features through their successive layers. </s> 
synearth.net| <s> Our affluence and comfort are built on massive global injustice. </s> 
esharp.eu| <s> Pessimism is building across the euro area about economic performance. </s> 
arjenpolku.fi| <s> And no, building a fence is unlikely to succeed. </s> 
bartlewis.me| <s> This is a website I built for a local contractor. </s> 
tellraven.us| <s> In class, we are learning about and building rockets! </s> 
elohell.net| <s> Build a mix of sustain, heavy damage and armor penetration! </s> 
establish-fp7.eu| <s> What do experts know about building a hydroelectric power plant? </s> 
buddhistedu.org| <s> They build it so easily and their belief is quite strong. </s> 
2day.uk| <s> Encouraging young people to get active and build fitness. </s> 
recentworldnews.org| <s> Pendle is a slope built on sound investment. </s> 
northsideup.org| <s> They identify a specific need and build programming to meet it. </s> 
github.io| <s> Each description level builds off the previous sub-level. </s> 
dugganbrothers.ie| <s> Shorter build time and less environmental impact. </s> 
iqio.org| <s> Build a form by using 2 x4 wood planks or plywood. </s> 
envirosagainstwar.org| <s> The US is actually building more nuclear weapons than it is dismantling. </s> 
spacegambit.org| <s> Our aim is to build humanity into a spacefaring species. </s> 
russs.net| <s> The mat roles up neatly with built in velcro straps. </s> 
navajocountyhistory.org| <s> It was built to resemble a hospitable Spanish hacienda. </s> 
